species;fish_length;river_depth;river_flow
Brown trout;20;80;51
Atlantic salmon;10;82;52
Brown trout;25;65;63
Brown trout;27;60;86
Brown trout;13;42;19
NA;12;92;27
NA;5;73;25
Atlantic salmon;11;37;52
Arctic char;5;29;13
Arctic char;5;68;70
NA;5;55;40
Arctic char;5;27;19
Atlantic salmon;8;43;28
Atlantic salmon;10;47;26
Brown trout;6;42;22
Brown trout;7;37;19
Arctic char;11;18;13
Atlantic salmon;8;60;37
Atlantic salmon;8;32;21
Brown trout;7;41;34
Atlantic salmon;10;54;28
Brown trout;8;74;40
Atlantic salmon;11;24;12
Brown trout;7;60;24
Brown trout;7;28;10
Brown trout;8;85;32
Atlantic salmon;7;64;40
Atlantic salmon;8;38;22
Brown trout;7;55;13
Brown trout;7;39;21
Brown trout;13;57;8
Arctic char;8;65;27
Brown trout;14;24;6
Arctic char;8;17;5
Arctic char;9;19;6
Arctic char;9;26;3
Arctic char;10;16;5
Brown trout;17;36;3
Brown trout;13;40;38
Arctic char;12;42;15
Brown trout;13;40;5
Arctic char;7;28;35
Brown trout;11;37;45
Brown trout;14;42;11
Brown trout;7;23;8
Arctic char;8;17;58
Atlantic salmon;10;24;30
