RockID;LengthA1;CircumferenceA1;LengthA2;CircumferenceA2;LengthB1;CircumferenceB1;LengthB2;CircumferenceB2
1;36;94;41;93;38;88;38;88
2;23;72;24;62;21;64;20;62
3;28;67;26;64;25;66;26;63
4;24;69;25;68;21;62;22;59
5;27;66;29;64;25;64;25;64
6;30;73;27;75;25;81;25;73
7;32;87;32;87;35;81;30;76
8;20;49;22;48;22;46;22;46
9;23;64;24;72;22;61;21;69
10;29;68;30;69;28;69;29;67
11;55;123;56;123;55;120;55;121
12;42;104;47;111;47;133;45;133
13;51;117;52;121;51;116;46;77
14;42;111;43;101;35;101;35;89
15;65;142;65;142;69;145;64;145
16;34;78;34;76;34;75;34;74
17;29;82;34;87;26;84;25;81
18;29;64;29;69;27;64;26;64
19;45;96;43;95;37;88;37;87
20;20;64;24;65;20;61;21;57
